generation;mean_p;mean_t;meanfrs;meanmrs;varp;vart;covpt;varfrs;varmrs;surviving_males;surviving_females;N;
23700;-0.10988;-0.583205;10;9.98804;0.0391386;0.00799382;-0.000184404;0;108.131;2320;2506;5000;
23710;-0.115039;-0.584845;10;9.83216;0.0403704;0.0077375;0.000494411;0;105.163;2321;2519;5000;
23720;-0.107102;-0.589217;9.76975;9.91939;0.0403682;0.0083241;0.000679482;2.24949;102.452;2381;2461;5000;
23730;-0.122436;-0.58219;10;9.66654;0.0411068;0.00805441;-0.000209612;0;101.693;2385;2464;5000;
23740;-0.118178;-0.582271;9.90898;10.1254;0.038308;0.00816349;0.000193454;0.901886;109.689;2323;2504;5000;
23750;-0.126935;-0.576635;9.97602;9.99199;0.0362736;0.0079787;-0.000378639;0.239233;104.564;2342;2496;5000;
23760;-0.124098;-0.586694;10;9.90525;0.0368847;0.00838247;0.00106676;0;109.663;2314;2509;5000;
23770;-0.125259;-0.590858;9.95181;9.87251;0.0362445;0.00909969;2.47367e-06;0.479605;106.916;2354;2478;5000;
23780;-0.113085;-0.590071;9.77165;10.0894;0.0399569;0.00971682;0.000321072;2.23132;103.651;2322;2482;5000;
23790;-0.12158;-0.591835;9.68726;10.1474;0.0405231;0.0102927;0.000552714;3.02963;106.858;2358;2478;5000;
23800;-0.0970269;-0.595066;9.92888;10.1782;0.0394585;0.0105403;-0.000431229;0.706124;113.536;2317;2513;5000;
23810;-0.109158;-0.583122;9.90913;10.158;0.0369298;0.00924707;-3.33962e-05;0.900474;104.835;2322;2508;5000;
23820;-0.101422;-0.572596;9.95126;9.65327;0.0386228;0.00912081;0.000145007;0.485033;96.2549;2386;2450;5000;
23830;-0.0978779;-0.564032;10;10.329;0.0378164;0.00973389;0.000350491;0;114.636;2298;2543;5000;
23840;-0.093503;-0.557989;10;10.2934;0.038342;0.00913511;0.000355623;0;111.449;2289;2561;5000;
23850;-0.0845104;-0.556103;9.7197;9.97973;0.0394138;0.00888295;0.000101144;2.72443;99.27;2385;2462;5000;
23860;-0.0995569;-0.558728;10;10.04;0.0386342;0.00889776;-0.000233449;0;108.828;2301;2513;5000;
23870;-0.100996;-0.55876;9.79519;10.1056;0.039682;0.00843089;0.000635427;2.00611;98.8917;2369;2487;5000;
23880;-0.105936;-0.56381;10;10.0712;0.0412655;0.00930785;-1.19783e-05;0;113.637;2294;2547;5000;
23890;-0.116912;-0.554595;10;10.0876;0.0400561;0.00814842;0.000436425;0;110.626;2333;2533;5000;
23900;-0.134827;-0.553355;9.81954;10.2122;0.0385218;0.00752073;0.000264067;1.77206;105.953;2352;2503;5000;
23910;-0.119566;-0.557413;9.77383;9.58796;0.0435105;0.00722324;-0.000119902;2.21056;97.1361;2432;2420;5000;
23920;-0.121665;-0.558013;10;10.0843;0.0430612;0.00647643;0.000587119;0;108.139;2332;2513;5000;
23930;-0.113882;-0.555504;9.75734;10.1963;0.0430517;0.00651939;-0.000414352;2.36773;107.446;2334;2493;5000;
23940;-0.10805;-0.556215;9.55812;9.65032;0.0461066;0.005943;-5.70498e-05;4.22353;97.3456;2454;2401;5000;
23950;-0.111298;-0.55702;9.76883;9.83942;0.0448689;0.00596372;-1.50248e-05;2.25824;100.336;2400;2451;5000;
23960;-0.113599;-0.5682;9.87312;10.0484;0.0427925;0.00667309;0.000336236;1.25273;104.114;2329;2490;5000;
23970;-0.122012;-0.565162;10;10.1036;0.0430082;0.00655726;0.000149128;0;114.218;2325;2535;5000;
23980;-0.124251;-0.571261;10;9.65043;0.0446407;0.00665725;0.00107439;0;105.259;2388;2457;5000;
23990;-0.1155;-0.571884;9.9603;10.1129;0.0441653;0.0065241;-0.000115153;0.395407;102.849;2328;2509;5000;
24000;-0.115514;-0.574319;10;10.1521;0.0439468;0.00674088;0.000466318;0;103.9;2315;2536;5000;
24010;-0.124101;-0.571753;9.84369;9.80439;0.0484902;0.00623995;0.000540189;1.53869;100.68;2367;2456;5000;
24020;-0.116169;-0.572215;10;10.3723;0.045962;0.00620358;0.000801598;0;118.076;2247;2591;5000;
24030;-0.122674;-0.577285;10;9.73186;0.0447157;0.0060068;0.000309862;0;104.108;2363;2468;5000;
24040;-0.125229;-0.569016;9.95146;9.73101;0.0473391;0.00550986;0.000201317;0.48308;100.64;2392;2460;5000;
24050;-0.117946;-0.571708;10;9.94928;0.0448686;0.00621841;0.000141101;0;109.83;2285;2550;5000;
24060;-0.11409;-0.569129;9.96083;10.3923;0.0441002;0.00590839;0.000710564;0.390162;102.748;2280;2543;5000;
24070;-0.113799;-0.57499;9.8691;10.0363;0.0453692;0.00601215;0.000551273;1.29187;108.389;2359;2488;5000;
24080;-0.119088;-0.570017;9.83313;9.50059;0.0466083;0.00622888;0.000343269;1.64086;99.0428;2414;2416;5000;
24090;-0.117275;-0.573546;9.84233;10.138;0.0460571;0.00681366;0.000606499;1.55181;109.603;2350;2497;5000;
24100;-0.136979;-0.567463;10;9.84227;0.0402547;0.00670401;-6.53754e-05;0;108.729;2346;2496;5000;
24110;-0.138832;-0.571976;10;9.96451;0.0405455;0.00660331;-0.00031334;0;111.395;2338;2527;5000;
24120;-0.147779;-0.568785;10;9.94442;0.0407594;0.00689058;0.000128521;0;112.264;2326;2505;5000;
24130;-0.136998;-0.571321;9.58726;9.93078;0.0425736;0.00679768;9.47896e-05;3.95701;98.2444;2382;2439;5000;
24140;-0.163405;-0.5721;10;9.78474;0.0420719;0.00715031;-0.000223378;0;110.208;2323;2500;5000;
24150;-0.151735;-0.572575;10;10.0991;0.0442978;0.0069275;0.00080605;0;113.194;2291;2547;5000;
24160;-0.162902;-0.573382;10;10.1687;0.0429341;0.00743661;0.000343677;0;110.895;2304;2532;5000;
24170;-0.173288;-0.573801;9.95986;9.8884;0.0416402;0.00720621;8.56521e-05;0.399834;102.738;2341;2481;5000;
24180;-0.151187;-0.574476;10;10.1167;0.0419539;0.0067354;-5.23529e-06;0;107.589;2329;2515;5000;
24190;-0.14159;-0.574747;9.78157;9.92345;0.043397;0.00586254;0.000392981;2.13656;106.4;2368;2463;5000;
24200;-0.154182;-0.57627;9.8469;9.70612;0.0413088;0.00552035;4.3348e-06;1.50758;102.455;2387;2444;5000;
24210;-0.166903;-0.573071;9.80103;9.9035;0.0385508;0.00590272;-0.000115823;1.95007;104.052;2391;2463;5000;
24220;-0.173642;-0.577482;10;10.028;0.038005;0.00609881;0.000561993;0;107.43;2319;2510;5000;
24230;-0.167027;-0.580099;10;10.3209;0.0388623;0.00508829;4.58744e-06;0;104.893;2300;2541;5000;
24240;-0.179968;-0.581647;9.71462;10.1761;0.0390086;0.00537972;0.000339399;2.77235;101.402;2354;2485;5000;
24250;-0.167568;-0.579962;9.97625;10.1859;0.04116;0.00504386;8.80613e-05;0.236965;107.969;2329;2520;5000;
24260;-0.166205;-0.579739;10;10.1403;0.0414689;0.0049276;-0.000462708;0;111.007;2295;2529;5000;
24270;-0.176955;-0.578361;10;10.2159;0.0405079;0.00469825;-0.000137564;0;108.63;2297;2555;5000;
24280;-0.168142;-0.583332;10;9.82792;0.0412277;0.00477128;-7.55151e-05;0;107.127;2307;2513;5000;
24290;-0.158884;-0.588534;10;9.8222;0.040493;0.0050904;-0.000207143;0;111.584;2335;2486;5000;
24300;-0.175193;-0.590676;9.94806;9.97197;0.0390868;0.00524544;0.000144018;0.516679;113.055;2322;2490;5000;
24310;-0.162469;-0.599576;10;9.93668;0.0422031;0.0055822;-2.07528e-05;0;107.554;2327;2511;5000;
24320;-0.171815;-0.601944;9.81578;9.79225;0.0420939;0.00517968;-6.70949e-05;1.80827;106.789;2392;2451;5000;
24330;-0.179009;-0.595753;9.79786;9.97981;0.0381594;0.00483991;4.75652e-05;1.98054;106.54;2327;2472;5000;
24340;-0.174675;-0.601626;9.70765;9.68438;0.0409331;0.00528939;-0.00017355;2.83804;103.496;2394;2424;5000;
24350;-0.161369;-0.602055;10;9.81911;0.0449753;0.00483289;0.000484277;0;112.983;2323;2497;5000;
24360;-0.17003;-0.603918;9.87995;9.87205;0.0467122;0.00501669;-0.000158386;1.18607;109.38;2348;2469;5000;
24370;-0.137821;-0.60387;9.75118;10.0041;0.0488996;0.00464973;0.000296919;2.42624;101.661;2358;2469;5000;
24380;-0.137191;-0.611282;9.79365;9.95161;0.0472516;0.00458251;-5.08463e-05;2.02091;107.659;2343;2468;5000;
24390;-0.121755;-0.609486;9.82547;9.99193;0.0458243;0.00490827;-0.000275799;1.71488;110.125;2361;2477;5000;
24400;-0.125128;-0.605357;10;10.2169;0.0449335;0.00434944;-0.000114973;0;112.563;2255;2544;5000;
24410;-0.139766;-0.606404;9.73985;10.0325;0.0466603;0.00504181;-3.69968e-05;2.53382;107.429;2349;2471;5000;
24420;-0.123791;-0.605858;9.93969;9.83685;0.0423633;0.00469533;-6.24625e-05;0.599499;101.486;2345;2472;5000;
24430;-0.118345;-0.604935;10;10.2054;0.0467144;0.00488288;0.000575555;0;113.248;2303;2534;5000;
24440;-0.104632;-0.604548;9.87815;9.58235;0.0439871;0.00466137;0.000121317;1.20367;101.638;2389;2432;5000;
24450;-0.0808978;-0.60202;9.51588;10.1613;0.0480915;0.00421821;0.000402317;4.60684;104.234;2356;2457;5000;
24460;-0.0729906;-0.608595;10;9.95611;0.0478015;0.00427162;-0.000312544;0;109.535;2335;2495;5000;
24470;-0.0703245;-0.618695;9.88827;9.93585;0.0486522;0.00488662;0.000419801;1.10483;105.93;2324;2478;5000;
24480;-0.0482298;-0.621625;10;9.93328;0.047733;0.00529354;-0.000224838;0;114.713;2281;2531;5000;
